"Endpoint","HTTP Method","Service Name","Description","Price (USD)","Category","Tags","Payment Protocol","Supported Networks"
"https://coinrailz.com/x402/correlation-matrix","POST","Correlation Matrix","Calculate price correlations between multiple assets. Price: $0.75","$0.75","Market Intelligence","Market Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/risk-metrics","POST","Risk Metrics Calculator","Calculate VaR  Sharpe ratio  and other risk metrics. Price: $1.00","$1.00","Market Intelligence","Market Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/arbitrage-scanner","POST","Arbitrage Scanner","Scan for arbitrage opportunities across DEXs and chains. Price: $1.25","$1.25","Market Intelligence","Market Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/polymarket-events","POST","Polymarket Events","Get trending prediction market events from Polymarket. Price: $0.25","$0.25","Prediction Markets","Prediction Markets","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/polymarket-odds","POST","Polymarket Odds","Get current odds for specific Polymarket events. Price: $0.50","$0.50","Prediction Markets","Prediction Markets","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/polymarket-search","POST","Polymarket Search","Search prediction markets by keyword or topic. Price: $0.25","$0.25","Prediction Markets","Prediction Markets","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/prediction-market-odds","POST","Prediction Market Odds","Get aggregated odds from multiple prediction market platforms. Price: $0.50","$0.50","Prediction Markets","Prediction Markets","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/stock-sentiment","POST","Stock Sentiment Analysis","AI-powered stock market sentiment analysis with news  technicals  and institutional activity. Price: $0.40","$0.40","Investment","Investment","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/forex-sentiment","POST","Forex Sentiment Analysis","AI-powered forex currency pair sentiment analysis with economic and central bank insights. Price: $0.40","$0.40","Investment","Investment","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/kalshi-markets","POST","Kalshi Markets","Get active markets from Kalshi  a CFTC-regulated prediction exchange. Price: $0.25","$0.25","Prediction Markets","Prediction Markets","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/kalshi-odds","POST","Kalshi Odds","Get current odds and orderbook for a specific Kalshi market. Price: $0.25","$0.25","Prediction Markets","Prediction Markets","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/kalshi-search","POST","Kalshi Search","Search Kalshi prediction markets by keyword. Price: $0.25","$0.25","Prediction Markets","Prediction Markets","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/prediction-market-spread","POST","Prediction Market Cross-Platform Spread","Live cross-platform spread analysis: Polymarket vs Kalshi. Finds identical real-world events on both exchanges simultaneously  computes YES probability divergence  and ranks arbitrage opportunities by","$0.25","Prediction Markets","Prediction Markets","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/solana-yield-finder","POST","Solana Yield Finder","Real-time Solana lending and yield rates from top DeFi protocols. Price: $0.25","$0.25","Trading Intelligence","Trading Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/satellite-earthdata","POST","NASA Earthdata Gateway","NASA Earthdata gateway: precipitation  granule search  SST  soil moisture  ocean color. Pass product field to select data type. Price: $0.25","$0.25","Satellite Intelligence","Satellite Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/earthdata-granules","POST","NASA Earthdata Granule Search","Search 1B+ NASA satellite granules by bounding box  date range  and collection (Landsat/Sentinel/MODIS/VIIRS). Price: $0.25","$0.25","Satellite Intelligence","Satellite Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/earthdata-precipitation","POST","NASA Precipitation Data","Real-time observed rain rate at any global coordinate from NASA IMERG. Price: $0.25","$0.25","Satellite Intelligence","Satellite Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/earthdata-sst","POST","NASA Sea Surface Temperature","Sea surface temperature at any ocean coordinate from NASA MUR-JPL. Price: $0.25","$0.25","Satellite Intelligence","Satellite Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/earthdata-soil-moisture","POST","NASA Soil Moisture","Soil moisture granule discovery from NASA SMAP SPL3SMP at 36km resolution. Price: $0.25","$0.25","Satellite Intelligence","Satellite Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/earthdata-ocean-color","POST","NASA Ocean Color","MODIS Aqua ocean chlorophyll-a concentration via NASA CMR at 4km resolution. Price: $0.25","$0.25","Satellite Intelligence","Satellite Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/fire-alerts","POST","NASA Fire Alerts","Real-time active fire detection from NASA FIRMS satellite data. Price: $0.15","$0.15","Satellite Intelligence","Satellite Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/weather-imagery","POST","Weather Satellite Imagery","High-resolution weather satellite imagery from NASA GIBS. Supports GOES  MODIS  and Suomi-NPP. Price: $0.15","$0.15","Satellite Intelligence","Satellite Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/vegetation","POST","Vegetation Health (NDVI)","NDVI vegetation health indices from NASA MODIS and ESA Sentinel-2. Price: $0.15","$0.15","Satellite Intelligence","Satellite Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/flood-detection","POST","Flood Detection","SAR-based flood extent mapping from ESA Sentinel-1. All-weather  day/night capability. Price: $0.25","$0.25","Satellite Intelligence","Satellite Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/air-quality","POST","Air Quality (Sentinel-5P)","Atmospheric pollutant concentrations from ESA Sentinel-5P TROPOMI. NO2  SO2  CO  O3  aerosols. Price: $0.15","$0.15","Satellite Intelligence","Satellite Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/land-use","POST","Land Use Classification","Land cover classification from NASA Landsat and ESA Sentinel WorldCover. Price: $0.15","$0.15","Satellite Intelligence","Satellite Intelligence","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/fleet-telematics","POST","Fleet Telematics","Real-time fleet data: GPS location  fuel consumption  driver behavior  and route optimization from IoT-connected vehicles. Price: $0.10","$0.10","IoT & DePIN","IoT & DePIN","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/weather-station-data","POST","Weather Station Data","Hyperlocal weather data from IoT weather stations: temperature  humidity  pressure  wind  precipitation. Price: $0.10","$0.10","IoT & DePIN","IoT & DePIN","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/iot-sensor-reading","POST","IoT Sensor Reading","Single sensor reading from registered IoT devices: temperature  humidity  pressure  CO2  motion. Price: $0.05","$0.05","IoT & DePIN","IoT & DePIN","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/iot-device-stream","POST","IoT Device Stream","Real-time data stream from IoT devices. Continuous sensor readings for monitoring applications. Price: $0.10","$0.10","IoT & DePIN","IoT & DePIN","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/iot-bulk-data","POST","IoT Bulk Data Export","Historical data export from IoT devices. Bulk download of sensor readings with filtering. Price: $0.25","$0.25","IoT & DePIN","IoT & DePIN","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/ai-inference","POST","AI Inference (GPT-4o-mini)","Pay-per-call GPT-4o-mini inference via x402 micropayment. No API key needed. Supports system prompt  user message  temperature. Price: $0.05","$0.05","AI Services","AI Services","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
"https://coinrailz.com/x402/instant-api-key","POST","Instant API Key","Frictionless API key provisioning via USDC payment. Pay once  receive a prepaid credits key instantly — no sign-up  no OAuth  no waitlist. Works across all x402 services. Price: $1.00","$1.00","Developer Tools","Developer Tools","x402 (HTTP 402 micropayments)","Base (EVM) / Solana"
